"filename", "language", "Dart", "C++", "JSON", "HTML", "YAML", "Swift", "XML", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\customer_dto.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\login_request_dto.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\login_response_dto.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\menu_item_dto.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\menu_item_image_dto.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\menu_item_type_dto.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\merchant_dto.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\merchant_profile_image_update_dto.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\order_details_dto.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\order_dto.dart", "Dart", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\promotion_dto.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\register_request_dto.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\shipper_dto.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\menu_item_image_update_dto.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\menu_item_type_update_dto.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\menu_item_update_dto.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\merchant_profile_image_update_dto.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\merchant_update_dto.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\order_update_dto.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\promotion_update_dto.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\user_rating_update_dto.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\user_update_dto.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\user_dto.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\user_rating_dto.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\enum\login_from_app.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\enum\order_status.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\enum\promotion_status.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\menu_item.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\merchant.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\order.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\order_detail.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\order_success_rate.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\place_location.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\promotion.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\shipper.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\providers\login_response_dto_provider.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\providers\menu_item_list_provider.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\providers\merchants_list_provider.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\providers\orders_list_provider.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\providers\promotions_list_provider.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\change_account_info_screen.dart", "Dart", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 220
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\create_menu_item_screen.dart", "Dart", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 334
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\create_promotion_screen.dart", "Dart", 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 433
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\edit_menu_item_screen.dart", "Dart", 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 380
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\login_screen.dart", "Dart", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 231
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\map_screen.dart", "Dart", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 172
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\merchant_register_screen.dart", "Dart", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 245
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\merchant_tabs_screen.dart", "Dart", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 186
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\order_details_screen.dart", "Dart", 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 321
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\promotion_details_screen.dart", "Dart", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 120
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\splash_screen.dart", "Dart", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 188
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\tabs_screen.dart", "Dart", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 134
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\screens\user_register_screen.dart", "Dart", 321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 334
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\customer_services.dart", "Dart", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\file_services.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 53
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\location_services.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\menu_item_image_services.dart", "Dart", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 109
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\menu_item_services.dart", "Dart", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48, 302
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\menu_item_type_services.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 121
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\merchant_profile_image_services.dart", "Dart", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 110
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\merchant_rating_services.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\merchant_services.dart", "Dart", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 262
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\order_detail_services.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 99
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\order_services.dart", "Dart", 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 222
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\order_success_rate_services.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\promotion_services.dart", "Dart", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 186
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\shipper_services.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\user_rating_services.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\services\user_services.dart", "Dart", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38, 253
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\settings\kcolors.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\util\material_color_creator.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\image_input.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 118
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\location_input.dart", "Dart", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 201
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\me.dart", "Dart", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 230
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\menu.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 110
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\menu_item_widget.dart", "Dart", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 208
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\merchant_list_item.dart", "Dart", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 169
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\merchant_orders_list_widget.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\merchant_tabbar_order.dart", "Dart", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 199
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\merchant_widget.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\merchants_list.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 66
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\order_list_item.dart", "Dart", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 125
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\promotion_list.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 105
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\promotion_list_item.dart", "Dart", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 130
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\user_order_list.dart", "Dart", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 122
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\widgets\your_merchant_widget.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 4, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\pubspec.yaml", "YAML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 58, 15, 104
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\web\index.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 16, 6, 60
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\flutter_window.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 7557, 540, 248, 38, 34, 56, 438, 13, 8, 90, 334, 1164, 10520
